Source ID,If you could change anything about the sales or design centre process  what would it be?
TAM09191007,Free items such as a coffee maker or vacuum or tv...
TAM1115112,"Nothing,they were very helpful at the design centre.

I've got to say that Marg at the sales centre made the whole process of buying the house so pleasant. Very knowledgeable, and a beautiful woman inside out."
TAM0612135,No comment
TAM09181035,I was very disappointed that my realtor who had traveled with me to Ottawa did not get commission for the sale. I was not aware that the sign in sheet would be used against me when I came in with a Realtor.
TAM03182034,"Although this may be difficult it would be nice to know placement of fences, underground utilities that may restrict use of part of property and why certain lots do not include at least one tree."
TAM10191051,Nothing
TAM0213110,"The choices of the upgrade needs more than those days you have proposed
special the first one needs to split in two."
TAM1115106,Design center should be more computerized for the hundred of options selection....would make it faster for the designer and more easily reviewable for the customers
TAM1012113,"In design centre, have more affordable choices in term of price and selections.
For the high end models, include more choices and style as basic. Everything is upgrade."
TAM1216109,"Two things:

1. We became aware at a late stage that we could have negotiated the design centre bonus of 5K to 10k which Tamarack had previously offered, so if we could, we would re-negotiate that. 

2. We would also re-negotiate the 10k lot premium. Looking at the thin line of trees in the back of the lot where our home is being build, we feel the 10k premiums is too high for what we are getting (we were expecting more privacy and more lush trees in the back)."
TAM0511104,"-We would like to have the information available in both official languages of Canada.  It will be ideal to have in each sale centre at least one bilingual person.

-Increase the amount of money for ugrades."
TAM0615132,"We had an amazing experience from the sales and design centers. I personally found it a little hard to visualize the upgrade options, and wished a computerized display was available, if even just the big things like floor and cabinets. The staff is so knowledgeable and helpful, it did make it easier."
TAM0712105,"I'm happy with the services provided by the sales rep and the design centre 
They are all very understanding and cooperative and are ready to understand and help whenever required . 

 Thank you tamarack for being a great builder."
TAM0611117,To be told you have to go to all the different stores to pick out your finishes. We thought we could do more of that at the model home. Just being informed of that would have been nice.
TAM06161014,"We were very happy with the sales process, however it would be great if the design centre would be able to be more clear with the options available, including pricing, and to have options for visualising the house with the upgrades chosen eg. a computer program. We were given a price list that had inaccurate information, and because of that and our time constraint we didn't do some upgrades we had been discussing. However, we are so far (without seeing the house yet!) happy with the design choices we made and we did not feel pressured to choose something we didn't want."
TAM06171025,More time at the design centre and provided with more information regarding upgrades.
TAM1012126,Happy with both.
TAM0816137,Nothing!
TAM0910101,"Advertising fake-Indicates many upgrades. Standard choices are horrible so need to upgrade almost everything.  You offered $5000.00 sign-on bonus but then you took $500.00 tax.  Be upfront about reality you offer $5000-you suck up the tax. You over charge so so much.  To me the upgrades are a money grab.  $500 for an upgraded sink faucet when the company price was $250.00 is ludicrous.  The trades are 'pigs' cups, pop cans in the walls & my new tubs (keep covers over the tubs) A mess!
Refer to question:
1. Properly greeted me when I entered the office: a bit elitist.
3.  Coffee cups in walls, lots of saw dust, tradesperson smoking in my home (while installing insulation)  The siding already falling off the house."
TAM0514105,"Just some minor inconveniences:
- The Design Centre was not always aware of some upgrades no longer being available.  So we would make our selections, then had to go back to the Design centre and select another upgrade.
- The Design Centre was not always aware of some upgrades being compatable with other upgrades. For example, an upgraded sink was not campatable with an upgraded faucet. Again we would have to return to the Design Centre to choose another upgrade."
TAM07191013,"1. I think that final costs of all upgrades etc should be provided in advance of the final sign off meeting. Had i had these costs in advance, I would have made additional upgrades, unfortunately at 8pm on the night of  my sign of meeting i was presented with the costing and only then realized i had a lot more room for upgrades etc. but by then it was too late."
TAM1211114,"A one-page, summarized milestone checklist to guide the buyer through the purchase process, that they receive before hand.
Also, clearer documentation (final summary of all upgrades agreed to with total cost) promptly provided, rather than handwriting on the purchase summary."
TAM1116111,Online selection
TAM0910118,"Informing clients that they should come in before their scheduled appointments at the design centre to browse (we went in on our own simply for our own piece of mind...we were told that we didn't need to until our appointment, but the extra browing time definitely helped us feel more confident with our options)."
TAM1015110,"We are disappointed that we are not giving credits when not taking standard options. i.e. We do not want the mantle, surround or hearth for the upstairs fireplace and are being given a credit for that cost. Overall, the Tamarack experience has been very good so far."
TAM1216107,"Sales centre : the upgrades included in model homes should have a price associated to them on the specifications sheet. The upgrades done in the model homes are not always obvious based on the description of the specification sheet. 

Design centre : We would have liked to have more time to get advice from the consultant on design choices.(additional meeting might have been good)

Frame check : we have identified some deficiencies in the home but the site supervisor did not provide us with the opportunity to see if the deficiencies were repaired in the home.(the foam sheets had huge cracks between them or holes, some ducks were folded shut or flasher tape was cut through, the water line coming inside the home did not seem secure. We had some questions for the site supervisor and he is presently not returning my calls. Also, the available hours to have the frame check done were not convenient for us (mornings only)."
TAM08181006,"Communication! It seemed that no one was on the same page regarding timing, appointments etc. example) Concept homes refused to acknowledge that I attended their meeting until I showed pictures of the contract I signed in their building. 

Issues like being ""strongly recommended"" a counter depth fridge because the door will hit the island, and not offering any counter depth fridges in the upgrades was ridiculous. 

Leg work for calling and communicating with others from Tamarack team was often placed on me the buyer. 

My house closing date was pushed back because design centre process took too long, when upon purchase I was told that if I met the instructed dates, the house would be available on time. I purchased the house with that promise, made every meeting on time, and still this was an issue. Design centre contracts had multiple mistakes and changes in them from what I had picked at the time of signing. If I was careless and just signed, my home would be completely different.

Overall communication was terrible, often I would be re-explaining or redoing a process multiple times to multiple people to get everyone on the same page myself. Home buying with Tamarack has unfortunately been a very painful process. No compensation, or solutions were found to many of my issues ex) I am now paying for a fridge that does not fit the unit. I will have to buy a new fridge somewhere else, only to gift or sell the one I am forcefully purchasing with Tamarack. Muskoka was looking to redesign my kitchen to accommodate at my financial expense because of the door issue. None of this was explained or mentioned before I had already signed.

Furthermore, despite these issues not being fixed yet. I am continued to be asked for more and more deposits.

Overall, I had originally planned to buy multiple investment homes in the new Findlay Creek area, but this home buying experience has truly made me consider going with other companies for my upcoming purchases."
TAM0317104,It was problem free.
TAM0214102,"I would have liked to see the standard plumbing clearly illustrated in the design centre.  I still have no idea of the faucet that will be placed in my four bathroom sinks.  I will know when I move in.  The faucet was described, but a visual replica would have been appreciated."
TAM0416104,Better understanding of deadlines/timelines for design/upgrades to be determined.
TAM0911108,"We were not entirely happy with the kitchen design process.  We felt that Gayle at Muskoka did not really present options or ideas, just tried to design a simple rectangle island and it took a lot of effort to get her to draw the island we envisioned."
TAM0113110,provide construction updates when major tasks are completed.
TAM0909125,"Better communication between design centre, implications of timeline and impact on build schedule with head office.  In my case, my closing date was delayed without any indication that I had exceeded a milestone, thereby giving neither the design centre nor myself any opportunities to ensure that we had completed the final design within schedule.  In the end I believe things worked out well, but it indicated that some improvements could be made during the communication process."
TAM11191022,"Just a note, we did not need to go through the designing processes. Thus, we answered all 5s. Wish there was a N/A button."
TAM01171008,"I should be educated more about the difference between model home and the home that i am buying, like i missed to note that the side light is missing and door is full glass in new design which i over looked and later came as a surprise to me. For design centre, the person should be more knowledgable, like she missed to educate me that garage door is not part of interior door package, i upgraded all my indoor to smooth finish and came as a surprise during frame walk through."
TAM0711113,"The biggest thing that I would change in the design process is the kitchen manufacturer. It was extremely difficult and at times frustrating not being able to go into a local kitchen place and directly speak with reps.  I have used a local company when building my first house and it offered way more selection and restructuring based upon measurements.  I was able to get professional advice, I was expecting that when designing my kitchen with Tamarack, however this was not the case and it was just a series of unexplained emails between Muskoka and Tamarack. Your reps did as best they could with the situation however I still feel like I would have benefited more from walking into a local manufacturer and getting face to face time."
TAM0715118,"Muskoka rep was not very knowledgable or helpful.  The options catalogue should be online, with pictures, and with better descriptions."
TAM0710127,"Document possible/potential upgrades to homes, so people would know what to ask/upgrade. This would be extremely useful.

Mention pros and cons of not having or having certain features in the new home. Example hot water tank and this new device that is in place instead, which I've been told rent is more expensive and  shows some inconviniences.

Finally provide more orientation in terms and friendly environment in regards to kitchens upgrades"
TAM10191032,"we were very disappointed that the house was delayed. we had gone with Tamarack as a builder for their reputation of not delaying the build, so we were disappointed when the house was delayed."
TAM0214107,I wish I had someone more experienced from the design center to help me.
TAM0909114,"Nothing, experience was very smooth"
TAM1211111,"Allow more time for the final appointment where a customer signs off.  This is the final meeting, after which changes cannot be made, and should not be rushed."
TAM07181010,When establishing a budget its crucisl to know estimayrs for bug ticket items.  I wasnt provided estimates for some items until a day before the last final meeting.  The estimate for my biggest item was one i continued to ask about since day 1 and nobody could assist with any form of an estimate.
TAM0714114,have discounts for hitting specified dollar levels at the design centre. the more you spend the bigger the discount
TAM0916109,I would educate her more than she is.  She must be better than this.  She should try to have knowledge of what she is selling.  She didn't give us a chance to read.  There is no solution.  You guys are getting the money and we end up with no solutions.  We are suffering.
TAM1116110,"Would like the ability to enter the home under construction with a representative more often than just at the pre set walk throughs, only 2 during the entire construction offered to us."
TAM0613104,Cannot speak highly enough of all involved. Wouldn't change anything!
TAM1013132,"The process works well, nothing to change. Just wish the design centre was closer to the sales centre."
TAM10171025,"Be more receptive to clients ideas for customizing their home, be realistic in costing your upgrades - we can all use the internet to see what items are priced at elsewhere!"
TAM0310103,"I have a suggestions. How feasible to provide this is questionable.
TO provide take home samples of such things as flooring, paint selections.
I did receive counter top samples but it would facilitate shopping for furniture to have all of the choices as samples.

I would have liked to have a model of the home I purchased to get a visual idea of what it will look like. Failing that, to have a chance to walk through an already sold but empty home."
TAM07191028,n/a
TAM08191019,Nothing to be change
TAM08191035,"For second appointment with design center, I found that 2.5 hours  is not enough if it is your first time to buy a new house ."
TAM11191008,Can’t think of anything.
TAM0111103,"1) We had a couple problems with our home during the construction phase that we feel should have been addressed differently. 2) We had to attend Tamarack several times to sign amendments to our purchase sale because mistakes were continuously made.
-We know that our house is going to be beautiful but I was very disappointed with the entire process.  We would not recommend Tamarack to friends or family because everytime we attempted to address our concerns we were ingnored and pushed aside. 
-The only people we were impressed with were the people we dealt with at Grants Tile."
TAM0910106,the prices for the upgrades are EXTREMELY inflated; disgusting in fact
TAM1016126,"It would be nice to be able to review options and design elements online, it's probably something more millennial like myself will come to expect but being given a paper options document and then having to google or ask when going into the design centre was less then ideal for us.

An example would be like buying a product from Apple, options are detailed and can be view / reviewed online"
TAM0812136,"""The design center should be computerized. We should know the price and total right the way. Not enough selection in design center and we have to run around to different stores to see the options - wasting time.  Some options are too expensive. I hate to use the word 'ridiculous' to describe. Upgrading the rail of a staircase costs over $8000.00 + tax.

In the basement, the air duct is in front of the window. It gives me hard time to install the ceiling. This design doesn't make any sense."""
TAM0210114,I was throughouly impresed throughout the entire process.  Kim at the design centre was extremely knowledgeable and very helpful.
TAM0510113,"Sales:
1) Would be very useful if sales person pointed out certain upgrades were structural changes and had to be done prior to design center. Some things we wanted to have done was too late.

Designer center:
1) Lack of time to make decsions to due to inefficient process of getting estimate upgrade costs. I don't understand why it takes such a long time when there is a limited period for home owners to get through the full process. I would recommend either adding help or start the design center process earlier so home owners will have the time to make their decisions as a home purchase is a big investment and cost.

2) Poor communication between kitchen designer at Muskoka and Tamarack designer. 
3) Poor selection of intermediate level upgrades (eg. tiles). Most were either standard or two level or higher ugrades.
4) Not enough designers leading to late appointments to finalize selections which forced our closing date out a month and we were blamed for the delay by head office."
TAM02182008,Just the location but I don't think that could change.
TAM10171024,Get wooden stairs
TAM0213108,nothing
TAM0614218,"Design center process should be change. Right now very difficult to
take decision in term of pricing procedure during selection. Thank you"
TAM06161017,They laid out everything really well and colour coded it so everything went well.  The only thing is that everything I liked was an upgrade and I got a lot of upgrades.
TAM0214109,More selections
TAM01181004,"Experience with the different suppliers during summer time was sometimes difficult. Hardly available, didn't return calls or answers to our questions. Very few samples of upgrades were made available, even at their stores or warehouses.

Also wish that the design center could physically show all the standard features (ex. lighting fixtures, tubs, faucets, etc.)

We really appreciated working with Joy Kerr and Mandy Mason, both very nice persons. We never felt pushed by them at any time, and both were always calm and understanding throughout the process."
TAM1212118,"Design Centre experience was a little confusing.
Misunderstanding on a few things.  It did get resolved."
TAM06171008,they have two suppliers that do the hard wood.  We loved the hardwood floor that was offered by the other supplier and it was in the model home but we couldn't have it because we were buying in this one particular neighbourhood.  It basically took me looking through all the other hardwood choices to choose another one.  I felt that it was unfair that all the other Tamarack communities could have this particular hardwood but we couldn't just because of this one community.
TAM0713111,"Our initial date for all design related decisions was April 11, not an issue as we had everything selected before that date but when we finally received the signed copies (from Ottawa) we noticed that date had been changed to April 1st.
We were not informed of any changes and this could have potentially been an issue."
TAM10191004,"Have a better calendar of walk through our new house because nothing was plan we had to ask to get the opportunity to visit. Every time we went the place was with garbage ( bottles, scrap food paper, ) other than construction.
We also would need to access the percentage of avancement of the construction to be able to work with our bank.
Having an internet account about what concern our new house would be a way to access and refer for any of our concern."
TAM0113102,"It would have been nice to have brought it to our attention regarding the bell box on front lawn.  It's an eye sore.  We would have still bought the house but, wish we had of known."
TAM0615133,"The time period it takes to get into a Tamarack home. The earliest close we could get was 7 months from purchase, which is longer than other builders."
TAM0712124,"Would have liked to find a better way to get prices rather than request by email (takes longer)  like a referral chart.  For purachsers who have never been part of the building process before, it would help if there was a tutorial or optional meeting to become more familiar with the process and timelines for each stage of selections and building process.  At one point I thought that we had 45 day to submit our list of upgrade selections, but ended up being the final signing.  It worked out in the end but is an important detail to know in advance."
TAM0712112,"It seemed very rushed in the time line. I was given 2 weeks between my initial meeting and the finialization of my choices. 
also, a quote was asked for some times and was forgotten about , that mistake was caught by head office and i ended up not getting the backsplash because of the mistake and time frame given to make a new choice."
TAM07191011,NA
TAM1013135,"design center is too far away from each community, takes too much time on each appt"
TAM03182000,"I would like to have been given a ""ruff in"" upgrade for the basement."
TAM0513112,1. give buyer catalog about different design option and price.
TAM0313113,"Ann was the first point of contact and was not knowledgeable and differed our questions completely.  We were however happy with the pricing and look of the homes and still purchased.  We had further administrative problems, missed/errors in paperwork on two separate occasions. Changes and confusion regarding scheduled appointments. Called to book something with us and then later realized they had pulled the wrong file after we had made daycare arrangements.  We feel that the administrative process was very disorganized and unprofessional.
Our design centre experience was the best part.  Christine was amazing to work with, very knowledgeable, personable and professional."
TAM0310110,Note - I didn't have a blue print meeting.
TAM0411112,"Sale person must be more clear and specific about the models, and go through the details instead of calculatiing how much their comission will be on this house. I used to think that TAMARAk was a better compnay compare to other builder but I was obviously wrong."
TAM0113111,"Ensure upgrade sheets are updated as items in the design center did not adhere to the upgrade sheets (where items were listed as ""included, $0.00"", we were told they were not included and had a fee).

We had an appointment with the sales representative and waited over an hour for her to finish up with the clients beforehand even though we had an appointment. Do not book back to back appointments or adhere to committed schedule as per Tamarack's booking."
TAM10191028,Offer more choices in the builders standard options selections.  Upgrades can add a lot of costs  in the already costly venture of buying a home.
TAM0910121,We felt the design center could have been a better experience for new home buyers.  More help chosing designs and more one on one time with designers.
TAM08171018,"Our main issue is that the sales centre never properly communicated with the design centre what clients could and could not do until after designs were chosen. The design representatives should be well aware of changes in policy and design limitations. We would be told one thing by the design centre and then have that refuted by the sales centre later on, which meant our customization expectations weren't met. It was a headache to have to fight for the things we were told we could have. 
 
For instance, 1) we were initially told by the design centre that we could pay to have the ensuite shower tiled, but had that option revoked; 2) we wanted all standard plumbing but were told after we signed the upgrades list that our choice of double sinks in the ensuite bathroom would need sink upgrades; 3) we were told we could change out a full glass exterior door that isn't conducive to privacy for a windowless one, but were told by the sales centre that our contract clearly indicated that this wasn’t changeable. We understood that the selections listed in the contract were pre-installed because we were late to the party with our purchase, but that we could change them if we were willing to pay for it. 
 
We also felt that we had to be our own project manager for this experience, from the home theatre people to the cabinetry people. We signed multiple amendments to the final upgrades list because our specifications were always a bit off each time they were presented to us. This was unnecessarily stressful. We're still waiting on the last signed amendments with the final cost to send to our mortgage broker. These should have been signed by the builder and sent to us already, as our last signed amendment was sent May 16, 2017. 
 
Based on this experience, we're wary to recommend a new Tamarack home to others. It remains to be seen whether the quality of the build meets our expectations. We truly hope what we went through is the exception to the rule.  

We will say that, through it all, Morgan Champagne tried hard to ensure all our concerns were addressed, and answered every question we had promptly, whether by email or phone. I can't fault her for the miscommunication between all the different areas. We truly felt supported by her despite the various setbacks."
TAM1215101,"We would have liked to be given credits for items not used (carpet, etc). Also, although we spent a lot of money on upgrades, we would have spent a lot more if the costs passed on to us weren't so expensive (cost is more than triple than if we buy it ourselves; toilets, shower heads, etc)."
TAM0512101,more standard finishings in the models
TAM0317101,Give more choices in the standard options
TAM06161019,"We are not impressed by Carolyn Hawkes, Design Coordinator. She was unprepared for our first meeting and did not provide us with enough information to make our selections. The design center was not ready and we had a difficult time going through our options. Carolyn did not show any urgency and took days to reply to our emails. Lastly, she did not forward us the pricing estimates promptly and we had to rush through at the very end to meet our deadline. In the whole process of buying a Tamarack Home, the design process was a complete disappointment."
TAM0510104,"The design centre staff were extremely friendly and welcoming however overall they seemed too busy.  Although our consultant was excellent, I didn't feel like she had the time to help with the choices as much as I would have liked, but overall it was a good experience just feel that there could have been more time allotted to the meetings.  

The kitchen design process was a little difficult and very rushed.  At times, I felt like I was a nuisance to the designer, but to give her the benifit of the doubt, she did seem to have a heavy load on her plate."
TAM0811122,"Sales rep was fantastic - knowledgeable, patient, professional, even under the handicap of having to explain our occupancy being delayed so often. However, one big negative for us was the excessive delay (8 months) between the down payment and Tamarack's obtaining of the building permit for our home, from the city. This was followed by two more notices of delay of occupancy of our home. From Design Centre selections to occupancy of our home will be approx. ONE YEAR!! And the notices of dalay made it very difficulot to offer our current home for sale with a firm occupancy date."
TAM0211122,"I think that we got in to this house a little late and they had already closed up the walls not allowing us to have pot lights. We were told when we purchased the home that it would not be a problem to later find out it was.

Also I marked '1' on the survey for walk through because we haven't moved in yet."
TAM0612134,More time for design centre selection
TAM0711110,"it was really well organized.
staff was helpful and courteous."
TAM0511128,"The process is very streamlined and both Jaqueline & Carolyn are very knowledgeable. 

The only thing we would modify perhaps, is one step during the design centre process related to the kitchen. There were a few pages of 'upgrades' that seemed unnecessary i.e. asking if we wanted plastic utensil liners for our drawers or garbage bins under the sink. When you're purchasing a new home that is comparatively more expensive than other builders in the area (rightfully so), it seems odd to go through sheets containing multiple items priced in the $30-$100 range. While we felt no pressure whatsoever from the salesperson to purchase these items, that was the only time it actually felt like Tamarack was in the business of making a profit from their customers."
TAM0614116,The design to have more available hours (evenings) we work during the day. The time they had on the door (saying open) they were closed.
TAM0412110,"If I could change anything about the process it would be not getting straight answers to questions that were posed.  When some people don't know answers to questions they should say they don't know, otherwise don't tell me that something is possible and then two weeks later tell me it's not.  I believe the house will be of good quality but the customer service from the sales reps to the design center to the site super needs a severe improvement for me To ever buy from or recommend Tamarak to anyone."
TAM10191020,"Sales centre process was perfect. For the design centre process, it was difficult to get a hold of the representatives over the phone and more clarification on items for upgrade."
TAM0611106,"If there is a minor change to be made, that was overlooked, it would be nice if Tamarack could accommodate such a change. (Ex: Adding an electrical outlet to the island)"
TAM0912123,The second design center meeting felt very rushed. I think we could have benefitted from a longer session.
TAM0416109,"1)We would like to suggest that any yearly changes to structure and offerings made by head office be made available at the beginning of the calendar year for homes purchased after January 1st.
    a. We purchased our home in January of 2015 and were given the upgrade      bonus that was applicable at that time. We went to the design centre in early March and were given a copy of the upgrade lists and respective costs. We did not start the design process until much later in the year (July) and once the process started there was significant confusion as to what options were standard and what were not. We were given the list of the 2015 standard lighting (which we liked) but that list was later rescinded because, according to head office, even though we had purchased in 2015 we had to choose from the 2014 lighting list (which we did not like). After several negotiations, in January of this year we were finally offered 5 lights from the 2015 list to be installed at no cost.
    b. The same option list switch occurred when we chose our granite; an upgrade to us but standard for houses bought later in 2015. This was resolved eventually to our satisfaction but it did cause some distress. In several instances, there was a remarkable increase in costs for our upgrades which put some items outside our upgrade overrun budget causing considerable disappointment. 
    c. There seemed to be a significant lag between head office and the sales/design centres as to what options were standard versus upgrades. 

2)We would like to suggest more flexibility in making minor design changes in town homes as well as single homes
    a.We asked several times to have a design modification made to remove a non supporting post at the steps from the foyer to the open concept kitchen family room area. We really, really do not want that post and even though we offered to pay the difference for the costs of the additional newel post and railing, there was no negotiation and were told that such modifications would only be granted in a single family home not a townhome. If it were a matter of simply making the change later on at our own costs, it would not be an issue but a change down the road would require matching stains for a new section of wood flooring and step nosing as well as replacing a section of the railing. It would have been much less work effort and cost to make this change while the home was under construction.

Our experience in the Sales Ctre has been wonderful but it is the negative experiences with the Design Ctre and the significant delay in construction at a time when interest rates were on the rise that has resulted in an unfavourable reference for Tamarack to our friends and family."
TAM0717103,Nothing to change
TAM09191048,"We should have received a copy of our deficiency documented during our frame walk through,  we didn't receive a copy of the item marked no did we have a chance to look at the list.  No follow-up after the walk through,  we are not sure if they have fixed anything of if our item where properly documented. We hope for the PDI walk-though a copy of our deficiency list is provided."
TAM0816117,Nothing
TAM0414116,N/A
TAM0213124,"It was very difficult to arrangement appointments thru the design centre for those of us who have purchased quick-delivery homes. I'm also somewhat surprised I have yet to be called for a walk-thru inspection. A construction inspection should of been conducted upon the initial sale of the home. 

In comparison to other design centres, I found Tamarack's to be a little grungy.  Perhaps an update of the faucet and tile area is required."
TAM03182012,The only thing that I wished we discussed was the option to put a long thin window beside the front door.  I don’t remember being presented with that option at the time of purchase and structure.  Although our Sakes Rep was off on leave during our initial appointment.  We discussed a glass panel option within the door which we didn’t select.
TAM0413104,The process was ok !
TAM1114107,Sales and design centre are working at the same place which is easy for us.
TAM1109113,"We were to recieve a phone call on a given date stated in the contract to tell us if the house was on schedual or delayed, Noone called we had to call the office. Better follow up with contrat dates would be nice. This also occured on our walk through frame inspection. Lady who called to confimr date and time never confirmed with foreman so when we shoed up for walk through we had to wait while foreman was tracked down as noone confirmed with him the time and date."
TAM0414104,None
TAM0714106,Sales is great!  The design it's ok.
TAM1210122,"design center : more standard selection options , very limited by existing selection"
TAM1016108,"There should be a window of time or follow-up to the frame check walk through to make sure there are no additional concerns to be addressed, because the process is quite quick and things can easily be missed."
TAM1015106,Nothing comes to mind.
TAM03182021,"When I asked about changing or adding some structural features, the answer was always no. For example: We wanted insulation between bedroom walls but they would not allow for that for a town-home.  
The roof vents: Tamarack only offers mushroom vents but every roofer in the city suggests the max-air flow vents. I am personally going to have to pay a roofer to put those in because I know the problems that the mushroom vents cause. It is ridiculous that I did not have the option to change. I'm not sure why Tamarack thinks they are above the what everyone in the industry recommends.
Dry core floor:  was not able to add a one in the basement
Infrared heating in the bathrooms- I was not able to get that to get that through the contractor, they were not able to accommodate my request"
TAM06181004,"from my experience, i wouldn't change anything...i found Noella in the Sales centre to be exceptional knowledgeable  and Kim was incredibily helpful.   i hope you will have a survey to complete after have possession of the home to provide feedback as to whether all the specific modifications we asked for were accurately followed.   i am sure they will be but would like to be able to give that positive feedback if applicable as well"
TAM1209112,Had almost too many options to pick from.
TAM0712134,Understanding the difference between standard and optional and just what that implied.  Additionally who in the process are responsible for that.  My disappointment is with the HVAC and the front door events
TAM1216102,Nothing. They were great!
TAM09181003,"We were very happy with the design process.  If anything, it would be great to be in the model picking the selections but I understand how difficult that would be."
TAM10191002,"Offer more updated selections for basic offering. As well, updated products such as laminate floors and more current tile selection. The process worked very well."
TAM10191042,"Clearly identify what is upgrades and what is standard, and the cost of the upgrades. 
I think the models should have an option for a basement bathroom. I understand that there is limited space and headroom etc but it would really add to options and re-sale."
TAM08171002,"The markup on upgrades is unrealistic. When going to your supplier we realized the huge markup. When paying for a $700,000 home cheating out on the basics is unacceptable. Other than that great job."
TAM1116117,"Design Centre process was held up waiting for an appointment with Concepts,which when we finally got one, took hardly anytime at all.  I thought the design centre procedure was all finalized only to be informe weeks.ater that I still had to sign off on the Concepts work and the total packag of upgrades.  MIscommunication!  However,it all worked out in the long run."
TAM0614123,"Should be more flexible to accommodate client's request for changes
Our current home already had the outer shell done but some little changes that were requested could have been accommodated."
TAM10171006,All upgrades to be handled by design centre to better coordinate and manage upgrades and budget from buyer's perspective.
TAM0316107,WE were shocked by the cost of upgrading things.  There should be more transparency.
TAM0717100,"It would be very helpful if the options catalogue provided by sales actually matched the design centre catalogue. Also why do you display items in the design centre that may not be available, it causes confusion and extra work."
TAM0812130,"""more options for interior doors
better standard options"""
TAM0412119,"Sales center staff Valerie was not helpful at all after the initial sale.  When we approached her to point out some deficiencies with the house, we were repeatedly told 'oh it's better coming from you'.  We did not get the support to help us resolve some of these issues.  I have not been back to the sales centre since because I feel that it was a waste of time.  

Darryl is great to deal with and very accommodating.  The design centre process was great.  Kim Knuth was also very helpful with our selections and process.  Unlike Valerie, Kim went out of her way to see our complaints resolve.  

There is more to this business than taking my initial deposit to complete the sale.  There is a major lack of customer service from the sales office.  Therefore, I would not recommend this builder to friends and family in the future."
TAM0510133,"The only real issues we had with the purchase process were in the very beginning prior to deciding. It is misleading that the model home appears to be an open house, but entering forfeits the right to a real estate agent. There was no indication during the first visit that we would be denied representation, but we subsequently were. Also, when inquiring about what in the model home was upgraded or standard, the sales representative tried to draw from memory. Not surprisingly, several items were forgotten until a later time when we were far more committed to the purchase. We suggest a well-documented list of upgrades in the model home, and clear examples of samples that would be standard available in the model home for previewing. The only real issue we had since purchasing was that one of the interior selections we made was back-ordered and unavailable. We believe that if interior materials were ordered further ahead of time, the supplier could have met the demand before it was too late."
TAM05191028,"More flexible design centre apppintments
Better display of ceramic tiles
Have standard items available for display such as kitchen sink, basin, toilet...etc

Note:
Deb Durie was so knowledgable & responsive"
TAM08181002,Would not change a thing the designer I had by the name of Ms. Knuth was outstanding and Noella Francouer from the sales centre at Cardinal Creek has been outstanding and so has her team
TAM07191029,I'm not sure.
TAM07191031,A new design techniques may benefit customers before stepping into design center such as virtual design software with standard pricing.
TAM02171002,"Design centre was amazing.
Noella was also very professional and it was pleasant to work with both teams"
TAM0510123,"Everything was great with the sales centre, I couldn't be more than happy. The design centre process was great as well, I just recommend they be more thorough when reviewing all the options during the final appointment, so that all of the areas in the house are covered, and gone over to make sure all the right options were chosen."
TAM0517108,"longer appointment times at the design centre. Since we bought an inventory home, the timelines were shorter than typical, and it was difficult to make choices with such little time."
TAM0411120,"The design process was amazing! The lady that helped us make our design decision was friendly, helpful, and knew the materials the center offered 'like the back of her hand'. I would recommend her to anyone. 

The sales center staff were friendly but a little extreme. Valerie made the process fun but skipped over material that she thought wasn't important. We read the material on our own and were able to ask questions and get further explanation where needed. 

We are to move into our new house on April 27th and we still haven't done the framing inspection. The drywall has been put on, taped, mudded, and painted. The ceramic tile has been put in along with the base board in atleast the front hall. I contacted the Tamarack design center in the middle of December to see when our framing inspection would take place. They said to call the site supervior. I called Jule at the site office and left a message. My call was never returned! I then stopped in at the design center and they said to email Julie and she would reply to my email and that they would send her an email as well. The older British lady took down my name and phone number. I emailed Jule and received no reply and their was no reply from the email that apparently was sent from the design center. I then called the design center again and asked if they could email her my name and phone number. I finally called in the middle of January and talked to Julie. She said I had to talk to Darrel. I spoke with Darrel on the phone and he said we could have the inspection whenever we wanted. I asked why we hadn't been call previously and he didn't have an answer. 

I am extremely frustrated with this company and hope the rest of the process is easier. I chose Tamarack because I heard they were a great builder, their standards and specifications are superior to the competition and the location was very desirable to me and my boyfriend. If I knew there would be so many problems I would have chose a builder like Urbandale or Tartan who's homes are significantly cheaper and building in the area.   

We are looking forward to moving into our new home but it has been a stressful process!"
TAM1016136,We believe the process (as is) is the best way to provide answers to your needed design informatiob
TAM11171017,"Booking appointments especially people from out of town, there should be a week or two notice in booking them."
TAM0714107,More information about why certain upgrades cost more than what one would expect (additional plumbing costs for example)
TAM0715106,"The existing design centre is small - not all standard features are displayed which tends to promote perhaps more options purchases than necessary.  Pictures may be available but they don't convey reality.  I realize not all can be displayed but...  A picture of the fireplace doesn't inform the buyer that when you purchase the fireplace option, you will get the one that the lowest BTU output sold for that model.   I see this survey is coming to an end (94%) - I would have hoped to see space allocated to issues, of ex: the framed walk through took place but with a stand-in who didn't have the neck paperwork.  He was courteous and helpful but not the man.  And when questions are raised, we're told drywalling starts in two days, etc. And when questions are raised about why a 4 ft tall Rodgers box is place 11 ft from your main window (although assurances had been given on purchase that the company ensures side-entrance dwellings do not have obstructions or eyesores) all one gets is a generic reply ""it can't be changed"".  Someone failed to exercise proper coordination and supervision and nothing can be changed."
